"table_id","table_name","table_comment","sub_table_name","sub_table_fk_name","class_name","tpl_category","package_name","module_name","business_name","function_name","function_author","gen_type","gen_path","options","create_by","create_time","update_by","update_time","remark"
1,mes_line,线别表,,,MesLine,crud,com.ruoyi.product,product,line,线别,ruoyi,"0",/,"{""parentMenuId"":2000}",admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14",
2,mes_model,机种表,,,MesModel,crud,com.ruoyi.product,product,model,机种,ruoyi,"0",/,"{""parentMenuId"":2000}",admin,"2022-10-06 15:08:59","","2022-10-06 15:24:08",
3,mes_oa_sop,oa签核表,,,MesOaSop,crud,com.ruoyi.product,product,sop,oa签核,ruoyi,"0",/,"{""parentMenuId"":2000}",admin,"2022-10-06 15:08:59","","2022-10-06 15:23:53",
4,mes_process,制程表,,,MesProcess,crud,com.ruoyi.product,product,process,制程,ruoyi,"0",/,"{""parentMenuId"":2000}",admin,"2022-10-06 15:09:00","","2022-10-06 15:23:46",
5,mes_site,厂区表,,,MesSite,crud,com.ruoyi.product,product,site,厂区,ruoyi,"0",/,"{""parentMenuId"":""2000""}",admin,"2022-10-06 15:09:00","","2022-10-06 15:22:10",
6,mes_sop,sop表,,,MesSop,crud,com.ruoyi.product,product,sop,sop,ruoyi,"0",/,"{""parentMenuId"":2000}",admin,"2022-10-06 15:09:00","","2022-10-06 15:23:31",
7,mes_stage,区段表,,,MesStage,crud,com.ruoyi.product,product,stage,区段,ruoyi,"0",/,"{""parentMenuId"":2000}",admin,"2022-10-06 15:09:01","","2022-10-06 15:23:24",
8,mes_terminal,工站表,,,MesTerminal,crud,com.ruoyi.product,product,terminal,工站,ruoyi,"0",/,"{""parentMenuId"":2000}",admin,"2022-10-06 15:09:01","","2022-10-06 15:23:17",
9,mes_terminal_sop,sop配置表,,,MesTerminalSop,crud,com.ruoyi.product,product,sop,sop配置,ruoyi,"0",/,"{""parentMenuId"":2000}",admin,"2022-10-06 15:09:02","","2022-10-06 15:23:07",
13,mes_kpi_index,KPI指标表,"","",MesKpiIndex,crud,com.ruoyi.dpms,dpms,kpiIndex,KPI指标,ruoyi,"0",/,"{""parentMenuId"":""2062""}",admin,"2022-11-10 09:55:09","","2022-11-10 17:08:51",
15,mes_kpi_assign,KPI指派表,,,MesKpiAssign,crud,com.ruoyi.dpms,dpms,kpiAssign,KPI指派,ruoyi,"0",/,{},admin,"2022-11-10 17:06:26","","2022-11-10 17:08:01",
20,mes_sop_group,sop群组表,,,MesSopGroup,crud,com.ruoyi.system,system,sopGroup,sop群组,ruoyi,"0",/,{},admin,"2022-12-26 16:31:32","","2022-12-26 16:32:18",
22,mes_upload_terminal_page,站点页码表,,,MesUploadTerminalPage,crud,com.ruoyi.system,system,mesUploadTerminalPage,站点页码,ruoyi,"0",/,{},admin,"2023-01-03 13:39:10","","2023-01-03 13:39:45",
24,mes_material_info,物料基础信息表,,,MesMaterialInfo,crud,com.ruoyi.replace,replace,info,物料基础信息,ruoyi,"0",/,{},admin,"2023-01-06 09:50:05","","2023-01-06 09:55:43",
25,mes_material_relate_line,料号、线体关系表,,,MesMaterialRelateLine,crud,com.ruoyi.system,system,line,料号、线体关系,ruoyi,"0",/,,admin,"2023-01-06 14:50:14","",,
