"column_id","table_id","column_name","column_comment","column_type","java_type","java_field","is_pk","is_increment","is_required","is_insert","is_edit","is_list","is_query","query_type","html_type","dict_type","sort","create_by","create_time","update_by","update_time"
1,"1",line_id,线别id,bigint,Long,lineId,"1","1",,"1",,,,EQ,input,"",1,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
2,"1",line_name,线别名称,varchar(30),String,lineName,"0","0","1","1","1","1","1",LIKE,input,"",2,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
3,"1",line_type,线别类型,char(1),String,lineType,"0","0",,"1","1","1","1",EQ,select,"",3,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
4,"1",work_center,工作中心,char(1),String,workCenter,"0","0",,"1","1","1","1",EQ,input,"",4,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
5,"1",status,状态（0正常 1停用）,char(1),String,status,"0","0",,"1","1","1","1",EQ,radio,"",5,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
6,"1",remark,备注,varchar(500),String,remark,"0","0",,"1","1","1",,EQ,textarea,"",6,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
7,"1",create_by,创建者,varchar(30),String,createBy,"0","0",,"1",,,,EQ,input,"",7,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
8,"1",create_time,创建时间,datetime,Date,createTime,"0","0",,"1",,,,EQ,datetime,"",8,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
9,"1",update_by,更新者,varchar(30),String,updateBy,"0","0",,"1","1",,,EQ,input,"",9,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
10,"1",update_time,更新时间,datetime,Date,updateTime,"0","0",,"1","1",,,EQ,datetime,"",10,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:14"
11,"2",model_id,机种id,bigint,Long,modelId,"1","1",,"1",,,,EQ,input,"",1,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:08"
12,"2",model_name,机种名称,varchar(20),String,modelName,"0","0","1","1","1","1","1",LIKE,input,"",2,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:08"
13,"2",status,机种状态（0正常 1停用）,char(1),String,status,"0","0",,"1","1","1","1",EQ,radio,"",3,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:08"
14,"2",remark,备注,varchar(500),String,remark,"0","0",,"1","1","1",,EQ,textarea,"",4,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:08"
15,"2",create_by,创建者,varchar(30),String,createBy,"0","0",,"1",,,,EQ,input,"",5,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:08"
16,"2",create_time,创建时间,datetime,Date,createTime,"0","0",,"1",,,,EQ,datetime,"",6,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:08"
17,"2",update_by,更新者,varchar(30),String,updateBy,"0","0",,"1","1",,,EQ,input,"",7,admin,"2022-10-06 15:08:59","","2022-10-06 15:24:08"
