"dict_code","dict_sort","dict_label","dict_value","dict_type","css_class","list_class","is_default","status","create_by","create_time","update_by","update_time","remark"
1,1,男,"0",sys_user_sex,"","",Y,"0",admin,"2022-10-06 14:19:00","",,性别男
2,2,女,"1",sys_user_sex,"","",N,"0",admin,"2022-10-06 14:19:00","",,性别女
3,3,未知,"2",sys_user_sex,"","",N,"0",admin,"2022-10-06 14:19:00","",,性别未知
4,1,显示,"0",sys_show_hide,"",primary,Y,"0",admin,"2022-10-06 14:19:00","",,显示菜单
5,2,隐藏,"1",sys_show_hide,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,隐藏菜单
6,1,正常,"0",sys_normal_disable,"",primary,Y,"0",admin,"2022-10-06 14:19:00","",,正常状态
7,2,停用,"1",sys_normal_disable,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,停用状态
8,1,正常,"0",sys_job_status,"",primary,Y,"0",admin,"2022-10-06 14:19:00","",,正常状态
9,2,暂停,"1",sys_job_status,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,停用状态
10,1,默认,DEFAULT,sys_job_group,"","",Y,"0",admin,"2022-10-06 14:19:00","",,默认分组
11,2,系统,SYSTEM,sys_job_group,"","",N,"0",admin,"2022-10-06 14:19:00","",,系统分组
12,1,是,Y,sys_yes_no,"",primary,Y,"0",admin,"2022-10-06 14:19:00","",,系统默认是
13,2,否,N,sys_yes_no,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,系统默认否
14,1,通知,"1",sys_notice_type,"",warning,Y,"0",admin,"2022-10-06 14:19:00","",,通知
15,2,公告,"2",sys_notice_type,"",success,N,"0",admin,"2022-10-06 14:19:00","",,公告
16,1,正常,"0",sys_notice_status,"",primary,Y,"0",admin,"2022-10-06 14:19:00","",,正常状态
17,2,关闭,"1",sys_notice_status,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,关闭状态
18,99,其他,"0",sys_oper_type,"",info,N,"0",admin,"2022-10-06 14:19:00","",,其他操作
19,1,新增,"1",sys_oper_type,"",info,N,"0",admin,"2022-10-06 14:19:00","",,新增操作
20,2,修改,"2",sys_oper_type,"",info,N,"0",admin,"2022-10-06 14:19:00","",,修改操作
21,3,删除,"3",sys_oper_type,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,删除操作
22,4,授权,"4",sys_oper_type,"",primary,N,"0",admin,"2022-10-06 14:19:00","",,授权操作
23,5,导出,"5",sys_oper_type,"",warning,N,"0",admin,"2022-10-06 14:19:00","",,导出操作
24,6,导入,"6",sys_oper_type,"",warning,N,"0",admin,"2022-10-06 14:19:00","",,导入操作
25,7,强退,"7",sys_oper_type,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,强退操作
26,8,生成代码,"8",sys_oper_type,"",warning,N,"0",admin,"2022-10-06 14:19:00","",,生成操作
27,9,清空数据,"9",sys_oper_type,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,清空操作
28,1,成功,"0",sys_common_status,"",primary,N,"0",admin,"2022-10-06 14:19:00","",,正常状态
29,2,失败,"1",sys_common_status,"",danger,N,"0",admin,"2022-10-06 14:19:00","",,停用状态
100,0,FATP,"0",mes_work_center,,primary,N,"0",test1,"2022-10-06 15:41:57","",,
101,1,SMT,"1",mes_work_center,,primary,N,"0",test1,"2022-10-06 15:42:16","",,
102,0,组装,"0",mes_process_operate_type,,primary,N,"0",test1,"2022-10-06 15:43:15",admin,"2024-01-09 14:40:51",
103,1,包装,"1",mes_process_operate_type,,primary,N,"0",test1,"2022-10-06 15:43:40",admin,"2024-01-09 14:41:06",
104,2,测试,"2",mes_process_operate_type,,primary,N,"0",test1,"2022-10-06 15:44:18",admin,"2024-01-09 14:41:14",
105,0,Assy,"0",mes_line_type,,default,N,"0",test1,"2022-10-06 15:45:25","",,
106,0,启用,"0",mes_enabled,,primary,N,"0",test1,"2022-10-06 15:46:03","",,
107,1,禁用,"1",mes_enabled,,warning,N,"0",test1,"2022-10-06 15:46:17","",,
108,0,未签核,"0",oa_status,,default,N,"0",test1,"2022-10-06 15:46:59","",,
109,1,签核中,"1",oa_status,,primary,N,"0",test1,"2022-10-06 15:47:14","",,
110,2,签核成功,"2",oa_status,,success,N,"0",test1,"2022-10-06 15:47:28","",,
111,3,签核失败,"3",oa_status,,danger,N,"0",test1,"2022-10-06 15:47:45","",,
112,1,SMT,"1",mes_line_type,,default,N,"0",admin,"2023-02-28 11:34:33","",,
113,3,SMT,"3",mes_process_operate_type,,default,N,"0",admin,"2025-04-21 14:24:39","",,
